Date,Product,Category,Region,Quantity,Sales,Profit
2026-01-01 00:00:00.000000000,Laptop,Electronics,South,6,384279.02,61484.64
2026-01-01 18:04:31.129707112,Mouse,Accessories,East,1,812.34,365.55
2026-01-02 12:09:02.259414225,Keyboard,Accessories,East,7,13389.69,5623.67
2026-01-03 06:13:33.389121338,Monitor,Electronics,North,4,47428.45,10434.26
2026-01-04 00:18:04.518828451,Keyboard,Accessories,West,3,5953.09,2500.3
2026-01-04 18:22:35.648535564,Keyboard,Accessories,West,3,5326.66,2237.2
2026-01-05 12:27:06.778242677,Headphones,Accessories,West,2,5065.5,1924.89
2026-01-06 06:31:37.907949790,Laptop,Electronics,West,7,469377.75,75100.44
2026-01-07 00:36:09.037656903,Laptop,Electronics,North,6,376383.63,60221.38
2026-01-07 18:40:40.167364016,Mouse,Accessories,West,4,3840.52,1728.24
2026-01-08 12:45:11.297071129,Monitor,Electronics,South,2,23808.31,5237.83
2026-01-09 06:49:42.426778242,Laptop,Electronics,North,4,271422.25,43427.56
2026-01-10 00:54:13.556485355,Mouse,Accessories,South,6,6005.89,2702.65
2026-01-10 18:58:44.686192468,Smartphone,Electronics,South,7,208465.61,29185.19
2026-01-11 13:03:15.815899581,Monitor,Electronics,East,2,21868.35,4811.04
2026-01-12 07:07:46.945606694,Headphones,Accessories,North,3,7805.67,2966.15
2026-01-13 01:12:18.075313807,Mouse,Accessories,East,4,3887.43,1749.35
2026-01-13 19:16:49.205020920,Monitor,Electronics,South,1,12956.91,2850.52
2026-01-14 13:21:20.334728033,Headphones,Accessories,West,6,14594.92,5546.07
2026-01-15 07:25:51.464435146,Smartphone,Electronics,East,2,54812.44,7673.74
2026-01-16 01:30:22.594142259,Monitor,Electronics,West,2,21162.41,4655.73
2026-01-16 19:34:53.723849372,Monitor,Electronics,East,6,75545.26,16619.96
2026-01-17 13:39:24.853556485,Smartphone,Electronics,East,6,178225.16,24951.52
2026-01-18 07:43:55.983263598,Keyboard,Accessories,North,1,1633.48,686.06
2026-01-19 01:48:27.112970711,Headphones,Accessories,West,5,12413.29,4717.05
2026-01-19 19:52:58.242677824,Keyboard,Accessories,West,1,1858.2,780.44
2026-01-20 13:57:29.372384937,Keyboard,Accessories,West,4,7302.31,3066.97
2026-01-21 08:02:00.502092050,Smartphone,Electronics,North,5,147721.83,20681.06
2026-01-22 02:06:31.631799163,Mouse,Accessories,West,2,1760.48,792.22
2026-01-22 20:11:02.761506276,Mouse,Accessories,North,1,804.59,362.07
2026-01-23 14:15:33.891213389,Mouse,Accessories,South,2,1710.83,769.87
2026-01-24 08:20:05.020920502,Keyboard,Accessories,East,1,1922.64,807.51
2026-01-25 02:24:36.150627615,Mouse,Accessories,South,5,4398.9,1979.5
2026-01-25 20:29:07.280334728,Monitor,Electronics,North,3,31876.23,7012.77
2026-01-26 14:33:38.410041841,Laptop,Electronics,East,1,68468.81,10955.01
2026-01-27 08:38:09.539748954,Headphones,Accessories,North,6,15003.76,5701.43
2026-01-28 02:42:40.669456067,Mouse,Accessories,South,2,1884.81,848.16
2026-01-28 20:47:11.799163180,Headphones,Accessories,South,2,4761.81,1809.49
2026-01-29 14:51:42.928870293,Monitor,Electronics,West,5,58010.1,12762.22
2026-01-30 08:56:14.058577406,Laptop,Electronics,North,3,216616.81,34658.69
2026-01-31 03:00:45.188284519,Headphones,Accessories,South,7,18338.77,6968.73
2026-01-31 21:05:16.317991631,Smartphone,Electronics,West,6,192042.04,26885.89
2026-02-01 15:09:47.447698744,Smartphone,Electronics,East,6,177812.42,24893.74
2026-02-02 09:14:18.577405857,Smartphone,Electronics,North,1,32898.74,4605.82
2026-02-03 03:18:49.707112970,Laptop,Electronics,East,4,241427.47,38628.4
2026-02-03 21:23:20.836820083,Smartphone,Electronics,East,6,166036.58,23245.12
2026-02-04 15:27:51.966527196,Headphones,Accessories,South,6,15930.67,6053.65
2026-02-05 09:32:23.096234309,Monitor,Electronics,South,5,61833.25,13603.31
2026-02-06 03:36:54.225941422,Laptop,Electronics,East,5,336688.03,53870.09
2026-02-06 21:41:25.355648535,Laptop,Electronics,South,6,347095.09,55535.21
2026-02-07 15:45:56.485355648,Smartphone,Electronics,East,4,115100.0,16114.0
2026-02-08 09:50:27.615062761,Laptop,Electronics,North,5,331836.28,53093.8
2026-02-09 03:54:58.744769874,Monitor,Electronics,West,2,26448.69,5818.71
2026-02-09 21:59:29.874476987,Keyboard,Accessories,South,4,7357.1,3089.98
2026-02-10 16:04:01.004184100,Smartphone,Electronics,South,1,33301.63,4662.23
2026-02-11 10:08:32.133891213,Headphones,Accessories,West,4,8998.55,3419.45
